model,type,difficulty,AnswerRelevancy,AnswerRelevancy_CI,AnswerSimilarity,AnswerSimilarity_CI,Faithfulness,Faithfulness_CI,ContextRelevance,ContextRelevance_CI,ContextPrecision,ContextPrecision_CI,ContextRecall,ContextRecall_CI,Hallucination,Hallucination_CI,,
GPT-5.5,baseline,hard,0.6696,0.0188,0.7831,0.0177,0.6313,0.0462,,,,,,,0.0408,0.0203,,
GPT-5.5,baseline,medium,0.8131,0.0248,0.8136,0.0184,0.4618,0.0147,,,,,,,0.0154,0.0246,,
GPT-5.5,baseline,simple,0.674,0.0199,0.662,0.0496,0.445,0.0203,,,,,,,0.0526,0.0262,,
GPT-5.5,rag,hard,0.7993,0.0546,0.8069,0.0209,0.8505,0.0567,0.4897,0.0803,0.9159,0.0395,0.8768,0.052,0.0102,0.0399,,
GPT-5.5,rag,medium,0.8563,0.0333,0.8127,0.0187,0.8751,0.0781,0.6231,0.1057,0.9158,0.0507,0.7572,0.0939,0.0117,0.0307,,
GPT-5.5,rag,simple,0.8297,0.0728,0.668,0.048,0.9021,0.0782,0.5559,0.0959,0.8418,0.0578,0.6329,0.1046,0.0132,0.0514,,
Gemini-3.5-Flash,baseline,hard,0.4456,0.0656,0.6097,0.0261,0.6758,0.0806,,,,,,,0.6327,0.0971,,
Gemini-3.5-Flash,baseline,medium,0.4964,0.0902,0.6462,0.0318,0.603,0.0913,,,,,,,0.4462,0.1241,,
Gemini-3.5-Flash,baseline,simple,0.5252,0.0775,0.6208,0.0349,0.5856,0.0758,,,,,,,0.3816,0.1117,,
Gemini-3.5-Flash,rag,hard,0.6452,0.0632,0.7156,0.0323,0.7023,0.062,0.5,0.0836,0.9175,0.0394,0.8778,0.054,0.1959,0.0804,,
Gemini-3.5-Flash,rag,medium,0.7291,0.0689,0.7671,0.0381,0.7841,0.0789,0.6308,0.1034,0.8706,0.0678,0.7603,0.0974,0.2,0.0999,,
Gemini-3.5-Flash,rag,simple,0.6656,0.0761,0.6028,0.0488,0.79,0.0818,0.5625,0.0956,0.8443,0.0569,0.6491,0.106,0.2368,0.0978,,
Claude-4.6-Sonnet,baseline,hard,0.755,0.0194,0.794,0.0207,0.5851,0.036,,,,,,,0.2179,0.0347,,
Claude-4.6-Sonnet,baseline,medium,0.7941,0.0225,0.8273,0.0202,0.4678,0.0165,,,,,,,0.1713,0.0723,,
Claude-4.6-Sonnet,baseline,simple,0.7213,0.0226,0.674,0.0513,0.4477,0.0214,,,,,,,0.0658,0.062,,
Claude-4.6-Sonnet,rag,hard,0.7849,0.0358,0.7998,0.0182,0.7209,0.0551,0.5765,0.0773,0.9273,0.037,0.8753,0.0551,0.0306,0.0425,,
Claude-4.6-Sonnet,rag,medium,0.8439,0.0481,0.8009,0.0191,0.864,0.0632,0.6615,0.1036,0.8782,0.0619,0.762,0.0902,0.0923,0.0316,,
Claude-4.6-Sonnet,rag,simple,0.8105,0.0643,0.6565,0.0466,0.8552,0.0689,0.5526,0.1002,0.8531,0.0515,0.6623,0.1048,0.0789,0.057,,
DeepSeek-V4-Pro,baseline,hard,0.6996,0.0236,0.8178,0.0161,0.6122,0.0351,,,,,,,0.1633,0.0552,,
DeepSeek-V4-Pro,baseline,medium,0.8054,0.0275,0.8383,0.0203,0.5183,0.0288,,,,,,,0.0615,0.0665,,
DeepSeek-V4-Pro,baseline,simple,0.713,0.0395,0.7374,0.043,0.6145,0.0719,,,,,,,0.1579,0.0262,,
DeepSeek-V4-Pro,rag,hard,0.805,0.0625,0.7612,0.033,0.7205,0.0635,0.4949,0.0811,0.9123,0.0433,0.8634,0.0601,0.0816,0.0745,,
DeepSeek-V4-Pro,rag,medium,0.8498,0.0559,0.8145,0.0276,0.8211,0.0758,0.6192,0.1022,0.8842,0.0603,0.7859,0.0875,0.0769,0.06,,
DeepSeek-V4-Pro,rag,simple,0.7573,0.0768,0.6558,0.0507,0.8894,0.0839,0.5263,0.1003,0.8458,0.0549,0.6896,0.1011,0.0132,0.0839,,
Qwen-3.6-Flash,baseline,hard,0.6903,0.0227,0.764,0.0172,0.5728,0.0308,,,,,,,0.102,0.0399,,
Qwen-3.6-Flash,baseline,medium,0.8222,0.0248,0.8096,0.0214,0.5083,0.0301,,,,,,,0.0462,0.0665,,
Qwen-3.6-Flash,baseline,simple,0.7158,0.037,0.6642,0.0416,0.5585,0.0606,,,,,,,0.0658,0.0262,,
Qwen-3.6-Flash,rag,hard,0.7819,0.0628,0.7938,0.0301,0.8165,0.0594,0.6301,0.0762,0.9119,0.0415,0.8547,0.0592,0.0408,0.061,,
Qwen-3.6-Flash,rag,medium,0.8633,0.0499,0.8138,0.0296,0.9617,0.0537,0.8154,0.0686,0.8445,0.065,0.6939,0.0964,0.0769,0.0524,,
Qwen-3.6-Flash,rag,simple,0.7867,0.0743,0.7115,0.0475,0.9965,0.0619,0.7401,0.0897,0.7428,0.0669,0.5353,0.109,0.0132,0.057,,
GLM-5.1,baseline,hard,0.7494,0.0223,0.8003,0.0182,0.5978,0.0364,,,,,,,0.0408,0.0399,,
GLM-5.1,baseline,medium,0.8563,0.023,0.8205,0.0211,0.5395,0.0374,,,,,,,0.0615,0.06,,
GLM-5.1,baseline,simple,0.7629,0.0335,0.6543,0.0396,0.5688,0.0668,,,,,,,0.1053,0.0262,,
GLM-5.1,rag,hard,0.794,0.0522,0.8077,0.0224,0.745,0.0532,0.5051,0.0824,0.9314,0.0342,0.8818,0.0515,0.0306,0.0347,,
GLM-5.1,rag,medium,0.8778,0.0362,0.8379,0.026,0.8188,0.0724,0.6192,0.1034,0.8816,0.0614,0.7544,0.0937,0.0308,0.0431,,
GLM-5.1,rag,simple,0.7935,0.068,0.6934,0.0496,0.7991,0.0733,0.5362,0.0982,0.851,0.057,0.6246,0.1055,0.0132,0.0706,,
